Source,Total Leads,Total Spend (CHF),Total Clicks,Overall CPA (CHF),Budget Utilisation (%),Total F,Mean F / window,% Positive F windows,Final Cumulative F,Mean F — Normal,Mean F — Holiday,Mean F — Crash,Mean F — After holiday (24h)
Industry Baseline (IB),227,20507.4,9991,90.34,68.4,90651.0,125.9,54.6,90651.0,149.74,195.24,-17.89,274.03
MAS (OODA),256,23307.27,9977,91.04,66.2,120022.0,166.7,47.5,120022.0,131.9,413.34,-0.04,213.0
Centaur (CFL),319,23650.14,11408,74.14,67.2,174015.0,241.69,59.0,174015.0,202.89,569.93,-1.87,166.25
