current_day,current_hour,current_minute,clicks,leads,spend,cpa,realized_cpc,daily_budget,max_bid,volatility,budget_status,current_day_spend
8,168,10080,0,0,0.0,0.0,0.0,1000.0,1.78,1.0,normal,0.0
8,168,10095,4,0,5.5963,5.5963,1.3991,1000.0,1.78,1.0,normal,5.5963
8,168,10110,8,1,14.24,14.24,1.78,1000.0,1.78,1.0,normal,19.8363
8,168,10125,5,0,0.2249,0.2249,0.045,1000.0,1.78,1.0,normal,20.0612
8,169,10140,4,0,7.48,7.48,1.87,1000.0,1.87,1.0,normal,27.5412
8,169,10155,3,0,5.61,5.61,1.87,1000.0,1.87,1.0,normal,33.1512
8,169,10170,1,0,0.2648,0.2648,0.2648,1000.0,1.87,1.0,normal,33.416
8,169,10185,3,0,5.61,5.61,1.87,1000.0,1.87,1.0,normal,39.026
8,170,10200,5,0,9.0281,9.0281,1.8056,1000.0,1.96,1.0,normal,48.0541
8,170,10215,6,0,11.76,11.76,1.96,1000.0,1.96,1.0,normal,59.8141
8,170,10230,4,1,7.1293,7.1293,1.7823,1000.0,1.96,1.0,normal,66.9434
8,170,10245,4,0,4.3507,4.3507,1.0877,1000.0,1.96,1.0,normal,71.2941
8,171,10260,2,0,4.06,4.06,2.03,1000.0,2.03,1.0,normal,75.3541
8,171,10275,6,0,0.2824,0.2824,0.0471,1000.0,2.03,1.0,normal,75.6365
8,171,10290,7,0,12.2232,12.2232,1.7462,1000.0,2.03,1.0,normal,87.8597
8,171,10305,3,0,6.09,6.09,2.03,1000.0,2.03,1.0,normal,93.9497
8,172,10320,6,0,12.18,12.18,2.03,1000.0,2.03,1.0,normal,106.1297
8,172,10335,6,0,8.7048,8.7048,1.4508,1000.0,2.03,1.0,normal,114.8345
8,172,10350,8,0,16.24,16.24,2.03,1000.0,2.03,1.0,normal,131.0745
8,172,10365,8,0,16.24,16.24,2.03,1000.0,2.03,1.0,normal,147.3145
8,173,10380,2,0,3.6018,3.6018,1.8009,1000.0,2.13,1.0,normal,150.9163
8,173,10395,7,0,1.6531,1.6531,0.2362,1000.0,2.13,1.0,normal,152.5694
8,173,10410,2,0,4.26,4.26,2.13,1000.0,2.13,1.0,normal,156.8294
8,173,10425,2,0,2.1679,2.1679,1.0839,1000.0,2.13,1.0,normal,158.9973
8,174,10440,3,0,6.93,6.93,2.31,1000.0,2.31,1.0,normal,165.9273
8,174,10455,4,0,9.24,9.24,2.31,1000.0,2.31,1.0,normal,175.1673
8,174,10470,3,2,6.93,3.465,2.31,1000.0,2.31,1.0,normal,182.0973
8,174,10485,4,0,9.24,9.24,2.31,1000.0,2.31,1.0,normal,191.3373
8,175,10500,4,0,6.587,6.587,1.6468,1000.0,1.83,1.0,normal,197.9243
8,175,10515,7,0,12.81,12.81,1.83,1000.0,1.83,1.0,normal,210.7343
8,175,10530,4,0,1.1401,1.1401,0.285,1000.0,1.83,1.0,normal,211.8744
8,175,10545,5,0,1.0158,1.0158,0.2032,1000.0,1.83,1.0,normal,212.8902
8,176,10560,5,0,5.3318,5.3318,1.0664,1000.0,1.83,1.0,normal,218.222
8,176,10575,3,0,5.49,5.49,1.83,1000.0,1.83,1.0,normal,223.712
8,176,10590,5,0,9.15,9.15,1.83,1000.0,1.83,1.0,normal,232.862
8,176,10605,5,0,9.15,9.15,1.83,1000.0,1.83,1.0,normal,242.012
8,177,10620,3,0,4.8212,4.8212,1.6071,1000.0,1.99,1.0,normal,246.8332
