current_day,current_hour,current_minute,clicks,leads,spend,cpa,realized_cpc,daily_budget,max_bid,volatility,budget_status,current_day_spend
8,168,10080,3,0,3.03,3.03,1.01,1000.0,1.01,1.0,normal,3.03
8,168,10095,3,0,3.03,3.03,1.01,1000.0,1.01,1.0,normal,6.06
8,168,10110,3,0,0.2433,0.2433,0.0811,1000.0,1.01,1.0,normal,6.3033
8,168,10125,0,0,0.0,0.0,1.01,1000.0,1.01,1.0,normal,6.3033
8,169,10140,2,0,2.02,2.02,1.01,1000.0,1.01,1.0,normal,8.3233
8,169,10155,5,0,5.05,5.05,1.01,1000.0,1.01,1.0,normal,13.3733
8,169,10170,0,0,0.0,0.0,1.01,1000.0,1.01,1.0,normal,13.3733
8,169,10185,1,0,0.093,0.093,0.093,1000.0,1.01,1.0,normal,13.4663
8,170,10200,4,1,4.04,4.04,1.01,1000.0,1.01,1.0,normal,17.5063
8,170,10215,3,0,2.484,2.484,0.828,1000.0,1.01,1.0,normal,19.9903
8,170,10230,1,0,1.01,1.01,1.01,1000.0,1.01,1.0,normal,21.0003
8,170,10245,1,0,0.3812,0.3812,0.3812,1000.0,1.01,1.0,normal,21.3815
8,171,10260,1,0,1.01,1.01,1.01,1000.0,1.01,1.0,normal,22.3915
8,171,10275,1,0,1.01,1.01,1.01,1000.0,1.01,1.0,normal,23.4015
8,171,10290,0,0,0.0,0.0,1.01,1000.0,1.01,1.0,normal,23.4015
8,171,10305,3,0,0.0208,0.0208,0.0069,1000.0,1.01,1.0,normal,23.4223
8,172,10320,4,0,4.52,4.52,1.13,1000.0,1.13,1.0,normal,27.9423
8,172,10335,1,0,1.13,1.13,1.13,1000.0,1.13,1.0,normal,29.0723
8,172,10350,4,0,4.52,4.52,1.13,1000.0,1.13,1.0,normal,33.5923
8,172,10365,2,0,2.26,2.26,1.13,1000.0,1.13,1.0,normal,35.8523
8,173,10380,0,0,0.0,0.0,1.13,1000.0,1.13,1.0,normal,35.8523
8,173,10395,0,0,0.0,0.0,0.3816,1000.0,1.13,1.0,normal,35.8523
8,173,10410,4,0,4.52,4.52,1.13,1000.0,1.13,1.0,normal,40.3723
8,173,10425,2,0,2.26,2.26,1.13,1000.0,1.13,1.0,normal,42.6323
8,174,10440,4,0,4.52,4.52,1.13,1000.0,1.13,1.0,normal,47.1523
8,174,10455,8,0,9.04,9.04,1.13,1000.0,1.13,1.0,normal,56.1923
8,174,10470,3,0,3.39,3.39,1.13,1000.0,1.13,1.0,normal,59.5823
8,174,10485,0,0,0.0,0.0,1.13,1000.0,1.13,1.0,normal,59.5823
8,175,10500,1,0,1.13,1.13,1.13,1000.0,1.13,1.0,normal,60.7123
8,175,10515,3,0,3.39,3.39,1.13,1000.0,1.13,1.0,normal,64.1023
8,175,10530,4,0,4.52,4.52,1.13,1000.0,1.13,1.0,normal,68.6223
8,175,10545,2,0,2.26,2.26,1.13,1000.0,1.13,1.0,normal,70.8823
8,176,10560,8,1,10.16,10.16,1.27,1000.0,1.27,1.0,normal,81.0423
8,176,10575,2,0,2.54,2.54,1.27,1000.0,1.27,1.0,normal,83.5823
8,176,10590,3,0,3.81,3.81,1.27,1000.0,1.27,1.0,normal,87.3923
8,176,10605,6,1,7.62,7.62,1.27,1000.0,1.27,1.0,normal,95.0123
8,177,10620,3,1,0.1865,0.1865,0.0622,1000.0,1.27,1.0,normal,95.1988
8,177,10635,5,1,6.35,6.35,1.27,1000.0,1.27,1.0,normal,101.5488
8,177,10650,2,0,2.54,2.54,1.27,1000.0,1.27,1.0,normal,104.0888
8,177,10665,3,0,2.4634,2.4634,0.8211,1000.0,1.27,1.0,normal,106.5522
8,178,10680,1,0,1.27,1.27,1.27,1000.0,1.27,1.0,normal,107.8222
8,178,10695,3,0,3.81,3.81,1.27,1000.0,1.27,1.0,normal,111.6322
