current_day,current_hour,current_minute,clicks,leads,spend,cpa,realized_cpc,daily_budget,max_bid,volatility,budget_status,current_day_spend
8,168,10080,7,0,9.31,9.31,1.33,1000.0,1.33,1.0,normal,9.31
8,168,10095,3,0,1.0193,1.0193,0.3398,1000.0,1.33,1.0,normal,10.3293
8,168,10110,6,0,5.9171,5.9171,0.9862,1000.0,1.33,1.0,normal,16.2464
8,168,10125,0,0,0.0,0.0,0.4891,1000.0,1.33,1.0,normal,16.2464
8,169,10140,2,0,2.1951,2.1951,1.0976,1000.0,1.28,1.0,normal,18.4415
8,169,10155,3,0,3.84,3.84,1.28,1000.0,1.28,1.0,normal,22.2815
8,169,10170,4,0,3.7455,3.7455,0.9364,1000.0,1.28,1.0,normal,26.027
8,169,10185,2,0,2.56,2.56,1.28,1000.0,1.28,1.0,normal,28.587
8,170,10200,1,0,0.6283,0.6283,0.6283,1000.0,1.22,1.0,normal,29.2153
8,170,10215,4,0,3.3561,3.3561,0.839,1000.0,1.22,1.0,normal,32.5714
8,170,10230,3,0,3.66,3.66,1.22,1000.0,1.22,1.0,normal,36.2314
8,170,10245,2,0,2.0609,2.0609,1.0304,1000.0,1.22,1.0,normal,38.2923
8,171,10260,1,0,1.17,1.17,1.17,1000.0,1.17,1.0,normal,39.4623
8,171,10275,2,0,2.34,2.34,1.17,1000.0,1.17,1.0,normal,41.8023
8,171,10290,3,0,3.51,3.51,1.17,1000.0,1.17,1.0,normal,45.3123
8,171,10305,5,0,0.5085,0.5085,0.1017,1000.0,1.17,1.0,normal,45.8208
8,172,10320,2,0,2.34,2.34,1.17,1000.0,1.17,1.0,normal,48.1608
8,172,10335,4,0,4.68,4.68,1.17,1000.0,1.17,1.0,normal,52.8408
8,172,10350,0,0,0.0,0.0,1.17,1000.0,1.17,1.0,normal,52.8408
8,172,10365,2,0,0.2103,0.2103,0.1052,1000.0,1.17,1.0,normal,53.0511
8,173,10380,5,0,5.6,5.6,1.12,1000.0,1.12,1.0,normal,58.6511
8,173,10395,3,0,0.3044,0.3044,0.1015,1000.0,1.12,1.0,normal,58.9555
8,173,10410,1,0,1.12,1.12,1.12,1000.0,1.12,1.0,normal,60.0755
8,173,10425,0,0,0.0,0.0,1.12,1000.0,1.12,1.0,normal,60.0755
8,174,10440,2,0,2.1463,2.1463,1.0732,1000.0,1.08,1.0,normal,62.2218
8,174,10455,4,0,2.7768,2.7768,0.6942,1000.0,1.08,1.0,normal,64.9986
8,174,10470,3,1,3.24,3.24,1.08,1000.0,1.08,1.0,normal,68.2386
8,174,10485,2,0,2.16,2.16,1.08,1000.0,1.08,1.0,normal,70.3986
8,175,10500,3,0,3.09,3.09,1.03,1000.0,1.03,1.0,normal,73.4886
8,175,10515,2,0,0.6836,0.6836,0.3418,1000.0,1.03,1.0,normal,74.1722
8,175,10530,0,0,0.0,0.0,1.03,1000.0,1.03,1.0,normal,74.1722
8,175,10545,1,0,0.5019,0.5019,0.5019,1000.0,1.03,1.0,normal,74.6741
8,176,10560,3,0,3.09,3.09,1.03,1000.0,1.03,1.0,normal,77.7641
8,176,10575,3,0,2.1983,2.1983,0.7328,1000.0,1.03,1.0,normal,79.9624
8,176,10590,1,0,1.03,1.03,1.03,1000.0,1.03,1.0,normal,80.9924
8,176,10605,3,0,3.09,3.09,1.03,1000.0,1.03,1.0,normal,84.0824
8,177,10620,4,0,4.28,4.28,1.07,1000.0,1.07,1.0,normal,88.3624
8,177,10635,5,0,4.693,4.693,0.9386,1000.0,1.07,1.0,normal,93.0554
8,177,10650,5,0,5.3174,5.3174,1.0635,1000.0,1.07,1.0,normal,98.3728
8,177,10665,2,0,2.14,2.14,1.07,1000.0,1.07,1.0,normal,100.5128
8,178,10680,4,0,4.44,4.44,1.11,1000.0,1.11,1.0,normal,104.9528
8,178,10695,1,0,1.11,1.11,1.11,1000.0,1.11,1.0,normal,106.0628
8,178,10710,1,0,1.11,1.11,1.11,1000.0,1.11,1.0,normal,107.1728
8,178,10725,3,0,0.5516,0.5516,0.1839,1000.0,1.11,1.0,normal,107.7244
8,179,10740,3,0,3.45,3.45,1.15,1000.0,1.15,1.0,normal,111.1744
8,179,10755,2,0,2.3,2.3,1.15,1000.0,1.15,1.0,normal,113.4744
8,179,10770,4,0,4.6,4.6,1.15,1000.0,1.15,1.0,normal,118.0744
8,179,10785,3,0,2.8708,2.8708,0.9569,1000.0,1.15,1.0,normal,120.9452
8,180,10800,3,0,3.3902,3.3902,1.1301,1000.0,1.15,1.0,normal,124.3354
8,180,10815,3,0,2.7035,2.7035,0.9012,1000.0,1.15,1.0,normal,127.0389
8,180,10830,2,0,2.3,2.3,1.15,1000.0,1.15,1.0,normal,129.3389
8,180,10845,1,0,0.3747,0.3747,0.3747,1000.0,1.15,1.0,normal,129.7136
8,181,10860,4,0,4.76,4.76,1.19,1000.0,1.19,1.0,normal,134.4736
8,181,10875,2,0,2.38,2.38,1.19,1000.0,1.19,1.0,normal,136.8536
8,181,10890,1,0,1.19,1.19,1.19,1000.0,1.19,1.0,normal,138.0436
8,181,10905,3,0,0.5181,0.5181,0.1727,1000.0,1.19,1.0,normal,138.5617
8,182,10920,3,0,2.353,2.353,0.7843,1000.0,1.23,1.0,normal,140.9147
8,182,10935,2,0,2.46,2.46,1.23,1000.0,1.23,1.0,normal,143.3747
8,182,10950,1,0,0.2913,0.2913,0.2913,1000.0,1.23,1.0,normal,143.666
8,182,10965,4,0,4.92,4.92,1.23,1000.0,1.23,1.0,normal,148.586
8,183,10980,2,0,2.6,2.6,1.3,1000.0,1.3,1.0,normal,151.186
8,183,10995,1,0,1.0023,1.0023,1.0023,1000.0,1.3,1.0,normal,152.1883
8,183,11010,1,0,1.3,1.3,1.3,1000.0,1.3,1.0,normal,153.4883
8,183,11025,2,0,0.2351,0.2351,0.1175,1000.0,1.3,1.0,normal,153.7234
8,184,11040,1,0,1.15,1.15,1.15,1000.0,1.15,1.0,normal,154.8734
8,184,11055,1,0,1.15,1.15,1.15,1000.0,1.15,1.0,normal,156.0234
8,184,11070,2,0,1.7317,1.7317,0.8659,1000.0,1.15,1.0,normal,157.7551
8,184,11085,5,0,5.75,5.75,1.15,1000.0,1.15,1.0,normal,163.5051
8,185,11100,2,0,2.34,2.34,1.17,1000.0,1.17,1.0,normal,165.8451
8,185,11115,2,0,2.34,2.34,1.17,1000.0,1.17,1.0,normal,168.1851
8,185,11130,3,0,3.51,3.51,1.17,1000.0,1.17,1.0,normal,171.6951
8,185,11145,2,0,1.6918,1.6918,0.8459,1000.0,1.17,1.0,normal,173.3869
8,186,11160,6,0,7.14,7.14,1.19,1000.0,1.19,1.0,normal,180.5269
8,186,11175,2,0,2.38,2.38,1.19,1000.0,1.19,1.0,normal,182.9069
8,186,11190,2,1,2.38,2.38,1.19,1000.0,1.19,1.0,normal,185.2869
8,186,11205,4,0,1.705,1.705,0.4263,1000.0,1.19,1.0,normal,186.9919
8,187,11220,3,0,3.63,3.63,1.21,1000.0,1.21,1.0,normal,190.6219
8,187,11235,0,0,0.0,0.0,1.21,1000.0,1.21,1.0,normal,190.6219
8,187,11250,5,0,6.05,6.05,1.21,1000.0,1.21,1.0,normal,196.6719
8,187,11265,2,0,2.42,2.42,1.21,1000.0,1.21,1.0,normal,199.0919
8,188,11280,2,0,2.42,2.42,1.21,1000.0,1.21,1.0,normal,201.5119
8,188,11295,3,0,3.63,3.63,1.21,1000.0,1.21,1.0,normal,205.1419
8,188,11310,3,0,3.63,3.63,1.21,1000.0,1.21,1.0,normal,208.7719
8,188,11325,2,0,0.9114,0.9114,0.4557,1000.0,1.21,1.0,normal,209.6833
8,189,11340,5,0,5.55,5.55,1.11,1000.0,1.11,1.0,normal,215.2333
8,189,11355,4,0,4.44,4.44,1.11,1000.0,1.11,1.0,normal,219.6733
8,189,11370,0,0,0.0,0.0,1.11,1000.0,1.11,1.0,normal,219.6733
8,189,11385,5,0,5.55,5.55,1.11,1000.0,1.11,1.0,normal,225.2233
8,190,11400,3,0,3.06,3.06,1.02,1000.0,1.02,1.0,normal,228.2833
8,190,11415,1,0,1.02,1.02,1.02,1000.0,1.02,1.0,normal,229.3033
8,190,11430,3,0,3.06,3.06,1.02,1000.0,1.02,1.0,normal,232.3633
8,190,11445,5,0,5.1,5.1,1.02,1000.0,1.02,1.0,normal,237.4633
8,191,11460,3,0,2.76,2.76,0.92,1000.0,0.92,1.0,normal,240.2233
8,191,11475,2,0,1.84,1.84,0.92,1000.0,0.92,1.0,normal,242.0633
8,191,11490,1,0,0.92,0.92,0.92,1000.0,0.92,1.0,normal,242.9833
8,191,11505,1,0,0.92,0.92,0.92,1000.0,0.92,1.0,normal,243.9033
9,192,11520,3,0,2.76,2.76,0.92,1000.0,0.92,1.0,normal,2.76
9,192,11535,3,0,2.76,2.76,0.92,1000.0,0.92,1.0,normal,5.52
9,192,11550,3,0,2.76,2.76,0.92,1000.0,0.92,1.0,normal,8.28
9,192,11565,1,1,0.92,0.92,0.92,1000.0,0.92,1.0,normal,9.2
9,193,11580,2,0,1.72,1.72,0.86,1000.0,0.86,1.0,normal,10.92
9,193,11595,1,0,0.86,0.86,0.86,1000.0,0.86,1.0,normal,11.78
9,193,11610,0,0,0.0,0.0,0.86,1000.0,0.86,1.0,normal,11.78
9,193,11625,2,0,1.72,1.72,0.86,1000.0,0.86,1.0,normal,13.5
9,194,11640,2,0,1.6,1.6,0.8,1000.0,0.8,1.0,normal,15.1
9,194,11655,1,0,0.8,0.8,0.8,1000.0,0.8,1.0,normal,15.9
9,194,11670,2,0,1.6,1.6,0.8,1000.0,0.8,1.0,normal,17.5
9,194,11685,0,0,0.0,0.0,0.8,1000.0,0.8,1.0,normal,17.5
9,195,11700,0,0,0.0,0.0,0.74,1000.0,0.74,1.0,normal,17.5
9,195,11715,0,0,0.0,0.0,0.74,1000.0,0.74,1.0,normal,17.5
9,195,11730,1,0,0.74,0.74,0.74,1000.0,0.74,1.0,normal,18.24
9,195,11745,3,0,0.356,0.356,0.1187,1000.0,0.74,1.0,normal,18.596
9,196,11760,1,0,0.74,0.74,0.74,1000.0,0.74,1.0,normal,19.336
9,196,11775,2,0,1.48,1.48,0.74,1000.0,0.74,1.0,normal,20.816
9,196,11790,3,0,2.22,2.22,0.74,1000.0,0.74,1.0,normal,23.036
9,196,11805,1,0,0.74,0.74,0.74,1000.0,0.74,1.0,normal,23.776
9,197,11820,3,0,2.31,2.31,0.77,1000.0,0.77,1.0,normal,26.086
9,197,11835,4,1,3.08,3.08,0.77,1000.0,0.77,1.0,normal,29.166
9,197,11850,1,0,0.77,0.77,0.77,1000.0,0.77,1.0,normal,29.936
9,197,11865,1,0,0.77,0.77,0.77,1000.0,0.77,1.0,normal,30.706
9,198,11880,2,0,1.6,1.6,0.8,1000.0,0.8,1.0,normal,32.306
9,198,11895,1,0,0.8,0.8,0.8,1000.0,0.8,1.0,normal,33.106
9,198,11910,2,0,1.6,1.6,0.8,1000.0,0.8,1.0,normal,34.706
9,198,11925,0,0,0.0,0.0,0.8,1000.0,0.8,1.0,normal,34.706
9,199,11940,1,0,0.83,0.83,0.83,1000.0,0.83,1.0,normal,35.536
9,199,11955,3,0,2.49,2.49,0.83,1000.0,0.83,1.0,normal,38.026
9,199,11970,3,0,2.49,2.49,0.83,1000.0,0.83,1.0,normal,40.516
9,199,11985,3,0,2.49,2.49,0.83,1000.0,0.83,1.0,normal,43.006
9,200,12000,4,0,3.32,3.32,0.83,1000.0,0.83,1.0,normal,46.326
9,200,12015,6,0,4.98,4.98,0.83,1000.0,0.83,1.0,normal,51.306
9,200,12030,3,0,0.309,0.309,0.103,1000.0,0.83,1.0,normal,51.615
9,200,12045,2,0,1.3368,1.3368,0.6684,1000.0,0.83,1.0,normal,52.9518
9,201,12060,2,0,1.72,1.72,0.86,1000.0,0.86,1.0,normal,54.6718
9,201,12075,1,0,0.2319,0.2319,0.2319,1000.0,0.86,1.0,normal,54.9037
9,201,12090,1,0,0.86,0.86,0.86,1000.0,0.86,1.0,normal,55.7637
9,201,12105,1,0,0.86,0.86,0.86,1000.0,0.86,1.0,normal,56.6237
9,202,12120,1,0,0.9,0.9,0.9,1000.0,0.9,1.0,normal,57.5237
9,202,12135,0,0,0.0,0.0,0.9,1000.0,0.9,1.0,normal,57.5237
9,202,12150,5,0,4.5,4.5,0.9,1000.0,0.9,1.0,normal,62.0237
9,202,12165,3,0,2.7,2.7,0.9,1000.0,0.9,1.0,normal,64.7237
9,203,12180,4,0,3.72,3.72,0.93,1000.0,0.93,1.0,normal,68.4437
9,203,12195,1,0,0.93,0.93,0.93,1000.0,0.93,1.0,normal,69.3737
9,203,12210,0,0,0.0,0.0,0.93,1000.0,0.93,1.0,normal,69.3737
9,203,12225,1,0,0.93,0.93,0.93,1000.0,0.93,1.0,normal,70.3037
9,204,12240,0,0,0.0,0.0,0.1545,1000.0,0.93,1.0,normal,70.3037
9,204,12255,3,0,2.79,2.79,0.93,1000.0,0.93,1.0,normal,73.0937
9,204,12270,4,0,2.9081,2.9081,0.727,1000.0,0.93,1.0,normal,76.0018
9,204,12285,2,0,0.3585,0.3585,0.1792,1000.0,0.93,1.0,normal,76.3603
9,205,12300,3,0,2.88,2.88,0.96,1000.0,0.96,1.0,normal,79.2403
9,205,12315,2,0,0.3718,0.3718,0.1859,1000.0,0.96,1.0,normal,79.6121
9,205,12330,4,0,3.84,3.84,0.96,1000.0,0.96,1.0,normal,83.4521
9,205,12345,0,0,0.0,0.0,0.96,1000.0,0.96,1.0,normal,83.4521
9,206,12360,2,0,0.5338,0.5338,0.2669,1000.0,0.99,1.0,normal,83.9859
9,206,12375,1,0,0.99,0.99,0.99,1000.0,0.99,1.0,normal,84.9759
9,206,12390,0,0,0.0,0.0,0.7617,1000.0,0.99,1.0,normal,84.9759
9,206,12405,2,0,1.98,1.98,0.99,1000.0,0.99,1.0,normal,86.9559
9,207,12420,3,0,3.06,3.06,1.02,1000.0,1.02,1.0,normal,90.0159
9,207,12435,4,0,4.08,4.08,1.02,1000.0,1.02,1.0,normal,94.0959
9,207,12450,1,0,1.02,1.02,1.02,1000.0,1.02,1.0,normal,95.1159
9,207,12465,1,0,1.02,1.02,1.02,1000.0,1.02,1.0,normal,96.1359
9,208,12480,3,0,3.06,3.06,1.02,1000.0,1.02,1.0,normal,99.1959
9,208,12495,3,0,3.06,3.06,1.02,1000.0,1.02,1.0,normal,102.2559
9,208,12510,2,0,0.7023,0.7023,0.3512,1000.0,1.02,1.0,normal,102.9582
9,208,12525,1,0,1.02,1.02,1.02,1000.0,1.02,1.0,normal,103.9782
9,209,12540,3,0,3.18,3.18,1.06,1000.0,1.06,1.0,normal,107.1582
9,209,12555,2,0,2.12,2.12,1.06,1000.0,1.06,1.0,normal,109.2782
9,209,12570,5,0,5.3,5.3,1.06,1000.0,1.06,1.0,normal,114.5782
9,209,12585,6,2,4.7925,2.3963,0.7988,1000.0,1.06,1.0,normal,119.3707
9,210,12600,1,0,1.1,1.1,1.1,1000.0,1.1,1.0,normal,120.4707
9,210,12615,2,0,2.2,2.2,1.1,1000.0,1.1,1.0,normal,122.6707
9,210,12630,3,0,0.2242,0.2242,0.0747,1000.0,1.1,1.0,normal,122.8949
9,210,12645,1,0,1.1,1.1,1.1,1000.0,1.1,1.0,normal,123.9949
9,211,12660,3,0,1.3626,1.3626,0.4542,1000.0,1.14,1.0,normal,125.3575
9,211,12675,5,0,1.5697,1.5697,0.3139,1000.0,1.14,1.0,normal,126.9272
9,211,12690,3,0,3.42,3.42,1.14,1000.0,1.14,1.0,normal,130.3472
9,211,12705,4,0,4.56,4.56,1.14,1000.0,1.14,1.0,normal,134.9072
9,212,12720,3,0,0.1721,0.1721,0.0574,1000.0,1.14,1.0,normal,135.0793
9,212,12735,3,0,3.42,3.42,1.14,1000.0,1.14,1.0,normal,138.4993
9,212,12750,1,0,1.14,1.14,1.14,1000.0,1.14,1.0,normal,139.6393
9,212,12765,2,0,2.28,2.28,1.14,1000.0,1.14,1.0,normal,141.9193
9,213,12780,3,0,3.4416,3.4416,1.1472,1000.0,1.19,1.0,normal,145.3609
9,213,12795,0,0,0.0,0.0,1.19,1000.0,1.19,1.0,normal,145.3609
9,213,12810,2,0,1.2502,1.2502,0.6251,1000.0,1.19,1.0,normal,146.6111
9,213,12825,5,0,5.95,5.95,1.19,1000.0,1.19,1.0,normal,152.5611
9,214,12840,0,0,0.0,0.0,1.23,1000.0,1.23,1.0,normal,152.5611
9,214,12855,0,0,0.0,0.0,1.23,1000.0,1.23,1.0,normal,152.5611
9,214,12870,5,0,3.582,3.582,0.7164,1000.0,1.23,1.0,normal,156.1431
9,214,12885,5,0,6.15,6.15,1.23,1000.0,1.23,1.0,normal,162.2931
9,215,12900,5,0,6.4,6.4,1.28,1000.0,1.28,1.0,normal,168.6931
9,215,12915,4,0,2.4396,2.4396,0.6099,1000.0,1.28,1.0,normal,171.1327
9,215,12930,3,0,2.3422,2.3422,0.7807,1000.0,1.28,1.0,normal,173.4749
