current_day,current_hour,current_minute,clicks,leads,spend,cpa,realized_cpc,daily_budget,max_bid,volatility,budget_status,current_day_spend
8,168,10080,0,0,0.0,0.0,0.0,1000.0,1.26,1.0,normal,0.0
8,168,10095,3,1,3.78,3.78,1.26,1000.0,1.26,1.0,normal,3.78
8,168,10110,5,0,6.3,6.3,1.26,1000.0,1.26,1.0,normal,10.08
8,168,10125,3,0,3.78,3.78,1.26,1000.0,1.26,1.0,normal,13.86
8,169,10140,2,0,2.36,2.36,1.18,1000.0,1.18,1.0,normal,16.22
8,169,10155,3,0,1.6282,1.6282,0.5427,1000.0,1.18,1.0,normal,17.8482
8,169,10170,1,0,1.18,1.18,1.18,1000.0,1.18,1.0,normal,19.0282
8,169,10185,2,0,2.36,2.36,1.18,1000.0,1.18,1.0,normal,21.3882
8,170,10200,1,0,1.0487,1.0487,1.0487,1000.0,1.09,1.0,normal,22.4369
8,170,10215,4,0,2.4516,2.4516,0.6129,1000.0,1.09,1.0,normal,24.8885
8,170,10230,1,0,1.09,1.09,1.09,1000.0,1.09,1.0,normal,25.9785
8,170,10245,4,1,3.8534,3.8534,0.9633,1000.0,1.09,1.0,normal,29.8319
8,171,10260,2,1,2.28,2.28,1.14,1000.0,1.14,1.0,normal,32.1119
8,171,10275,4,0,4.56,4.56,1.14,1000.0,1.14,1.0,normal,36.6719
8,171,10290,3,0,2.3777,2.3777,0.7926,1000.0,1.14,1.0,normal,39.0496
8,171,10305,2,0,2.28,2.28,1.14,1000.0,1.14,1.0,normal,41.3296
8,172,10320,5,0,5.8224,5.8224,1.1645,1000.0,1.26,1.0,normal,47.152
8,172,10335,4,0,5.04,5.04,1.26,1000.0,1.26,1.0,normal,52.192
8,172,10350,3,0,3.2739,3.2739,1.0913,1000.0,1.26,1.0,normal,55.4659
8,172,10365,5,1,6.3,6.3,1.26,1000.0,1.26,1.0,normal,61.7659
8,173,10380,1,0,1.32,1.32,1.32,1000.0,1.32,1.0,normal,63.0859
8,173,10395,1,0,0.2236,0.2236,0.2236,1000.0,1.32,1.0,normal,63.3095
8,173,10410,8,0,10.56,10.56,1.32,1000.0,1.32,1.0,normal,73.8695
8,173,10425,4,0,1.3014,1.3014,0.3253,1000.0,1.32,1.0,normal,75.1709
8,174,10440,5,0,4.1737,4.1737,0.8347,1000.0,1.37,1.0,normal,79.3446
8,174,10455,0,0,0.0,0.0,0.5576,1000.0,1.37,1.0,normal,79.3446
8,174,10470,4,0,5.48,5.48,1.37,1000.0,1.37,1.0,normal,84.8246
8,174,10485,9,0,5.3413,5.3413,0.5935,1000.0,1.37,1.0,normal,90.1659
