Source,Total Leads,Total Spend (CHF),Total Clicks,Overall CPA (CHF),Budget Utilisation (%),Total F,Mean F / window,% Positive F windows,Final Cumulative F,Mean F — Normal,Mean F — Holiday,Mean F — Crash,Mean F — After holiday (24h)
Industry Baseline (IB),215,18011.13,9013,83.77,75.2,88542.0,122.97,51.0,88542.0,144.05,199.18,-20.3,61.29
MAS (OODA),236,20765.47,9358,87.99,56.3,110943.0,154.09,57.6,110943.0,126.58,369.66,-0.03,182.49
Centaur (CFL),301,24150.25,10853,80.23,68.6,150674.0,209.27,54.3,150674.0,174.63,498.23,-3.74,223.57
