Source,Total Leads,Total Spend (CHF),Total Clicks,Overall CPA (CHF),Budget Utilisation (%),Total F,Mean F / window,% Positive F windows,Final Cumulative F,Mean F — Normal,Mean F — Holiday,Mean F — Crash,Mean F — After holiday (24h)
Industry Baseline (IB),232,20790.56,9301,89.61,72.6,89295.0,124.02,50.6,89295.0,127.91,244.09,-17.21,56.37
MAS (OODA),265,21001.66,9140,79.25,56.7,126484.0,175.67,53.2,126484.0,155.61,391.46,-0.15,-145.98
Centaur (CFL),281,21705.12,9950,77.24,61.7,141254.0,196.19,58.3,141254.0,168.93,451.76,-1.95,158.52
