current_day,current_hour,current_minute,clicks,leads,spend,cpa,realized_cpc,daily_budget,max_bid,volatility,budget_status,current_day_spend
8,168,10080,0,0,0.0,0.0,3.3053,1000.0,3.42,1.0,normal,0.0
8,168,10095,7,0,23.94,23.94,3.42,1000.0,3.42,1.0,normal,23.94
8,168,10110,9,0,8.4818,8.4818,0.9424,1000.0,3.42,1.0,normal,32.4218
8,168,10125,5,1,4.4704,4.4704,0.8941,1000.0,3.42,1.0,normal,36.8922
8,169,10140,12,0,41.04,41.04,3.42,1000.0,3.42,1.0,normal,77.9322
8,169,10155,9,0,23.2455,23.2455,2.5828,1000.0,3.42,1.0,normal,101.1777
8,169,10170,10,0,34.2,34.2,3.42,1000.0,3.42,1.0,normal,135.3777
8,169,10185,10,0,34.2,34.2,3.42,1000.0,3.42,1.0,normal,169.5777
8,170,10200,13,0,44.46,44.46,3.42,1000.0,3.42,1.0,normal,214.0377
8,170,10215,14,0,42.9544,42.9544,3.0682,1000.0,3.42,1.0,normal,256.9921
8,170,10230,11,1,0.9574,0.9574,0.087,1000.0,3.42,1.0,normal,257.9495
8,170,10245,5,0,15.1638,15.1638,3.0328,1000.0,3.42,1.0,normal,273.1133
8,171,10260,7,0,13.2178,13.2178,1.8883,1000.0,3.42,1.0,normal,286.3311
8,171,10275,9,0,13.4624,13.4624,1.4958,1000.0,3.42,1.0,normal,299.7935
8,171,10290,12,0,17.8714,17.8714,1.4893,1000.0,3.42,1.0,normal,317.6649
8,171,10305,10,0,34.2,34.2,3.42,1000.0,3.42,1.0,normal,351.8649
8,172,10320,7,1,19.18,19.18,2.74,1000.0,2.74,1.0,normal,371.0449
8,172,10335,3,1,8.22,8.22,2.74,1000.0,2.74,1.0,normal,379.2649
8,172,10350,6,0,16.44,16.44,2.74,1000.0,2.74,1.0,normal,395.7049
8,172,10365,8,2,21.92,10.96,2.74,1000.0,2.74,1.0,normal,417.6249
8,173,10380,6,0,16.44,16.44,2.74,1000.0,2.74,1.0,normal,434.0649
8,173,10395,10,0,27.4,27.4,2.74,1000.0,2.74,1.0,normal,461.4649
8,173,10410,6,1,4.443,4.443,0.7405,1000.0,2.74,1.0,normal,465.9079
8,173,10425,8,1,12.642,12.642,1.5803,1000.0,2.74,1.0,normal,478.5499
8,174,10440,6,0,1.7721,1.7721,0.2953,1000.0,2.74,1.0,normal,480.322
8,174,10455,4,0,10.96,10.96,2.74,1000.0,2.74,1.0,normal,491.282
8,174,10470,2,0,3.7161,3.7161,1.8581,1000.0,2.74,1.0,normal,494.9981
8,174,10485,7,0,10.4109,10.4109,1.4873,1000.0,2.74,1.0,normal,505.409
8,175,10500,5,1,7.3334,7.3334,1.4667,1000.0,2.74,1.0,normal,512.7424
8,175,10515,9,0,9.1553,9.1553,1.0173,1000.0,2.74,1.0,normal,521.8977
8,175,10530,8,1,4.1277,4.1277,0.516,1000.0,2.74,1.0,normal,526.0254
8,175,10545,6,0,16.44,16.44,2.74,1000.0,2.74,1.0,normal,542.4654
8,176,10560,3,0,9.03,9.03,3.01,1000.0,3.01,1.0,normal,551.4954
8,176,10575,7,0,21.07,21.07,3.01,1000.0,3.01,1.0,normal,572.5654
8,176,10590,6,0,18.06,18.06,3.01,1000.0,3.01,1.0,normal,590.6254
8,176,10605,6,0,18.06,18.06,3.01,1000.0,3.01,1.0,normal,608.6854
8,177,10620,8,0,18.2068,18.2068,2.2759,1000.0,3.01,1.0,normal,626.8922
8,177,10635,9,1,27.09,27.09,3.01,1000.0,3.01,1.0,normal,653.9822
8,177,10650,7,1,21.07,21.07,3.01,1000.0,3.01,1.0,normal,675.0522
